conText v3.0.1 successfully loaded. Note this version of the package comes with significant changes to the conText() function.
                        See Quick Start Guide for help getting started and instructions for accessing older versions of the package:
 https://github.com/prodriguezsosa/conText/blob/master/vignettes/quickstart.md
Package version: 4.3.1
Unicode version: 15.1
ICU version: 74.2
Parallel computing: 2 of 2 threads used.
See https://quanteda.io for tutorials and examples.

Attaching package: 'dplyr'

The following objects are masked from 'package:stats':

    filter, lag

The following objects are masked from 'package:base':

    intersect, setdiff, setequal, union

Task 15 -> topic: 29
1340 instances of "nba" found.
1241 instances of "nba" found.
1349 instances of "nba" found.
1203 instances of "nba" found.
1312 instances of "nba" found.
1257 instances of "nba" found.
1389 instances of "nba" found.
1379 instances of "nba" found.
1191 instances of "nba" found.
1310 instances of "nba" found.
1405 instances of "nba" found.
1180 instances of "nba" found.
1107 instances of "nba" found.
1253 instances of "nba" found.
1255 instances of "nba" found.
1190 instances of "nba" found.
1220 instances of "nba" found.
1102 instances of "nba" found.
1249 instances of "nba" found.
1366 instances of "nba" found.
1195 instances of "knicks" found.
1151 instances of "knicks" found.
1249 instances of "knicks" found.
1099 instances of "knicks" found.
1111 instances of "knicks" found.
1135 instances of "knicks" found.
1067 instances of "knicks" found.
1061 instances of "knicks" found.
1152 instances of "knicks" found.
1138 instances of "knicks" found.
1250 instances of "knicks" found.
1387 instances of "knicks" found.
1135 instances of "knicks" found.
1079 instances of "knicks" found.
1072 instances of "knicks" found.
1128 instances of "knicks" found.
1120 instances of "knicks" found.
1313 instances of "knicks" found.
1016 instances of "knicks" found.
1095 instances of "knicks" found.
850 instances of "nets" found.
776 instances of "nets" found.
893 instances of "nets" found.
984 instances of "nets" found.
754 instances of "nets" found.
819 instances of "nets" found.
703 instances of "nets" found.
749 instances of "nets" found.
794 instances of "nets" found.
798 instances of "nets" found.
919 instances of "nets" found.
850 instances of "nets" found.
775 instances of "nets" found.
835 instances of "nets" found.
786 instances of "nets" found.
867 instances of "nets" found.
808 instances of "nets" found.
880 instances of "nets" found.
907 instances of "nets" found.
784 instances of "nets" found.
543 instances of "lakers" found.
426 instances of "lakers" found.
494 instances of "lakers" found.
504 instances of "lakers" found.
390 instances of "lakers" found.
475 instances of "lakers" found.
391 instances of "lakers" found.
410 instances of "lakers" found.
453 instances of "lakers" found.
