conText v3.0.1 successfully loaded. Note this version of the package comes with significant changes to the conText() function.
                        See Quick Start Guide for help getting started and instructions for accessing older versions of the package:
 https://github.com/prodriguezsosa/conText/blob/master/vignettes/quickstart.md
Package version: 4.3.1
Unicode version: 15.1
ICU version: 74.2
Parallel computing: 2 of 2 threads used.
See https://quanteda.io for tutorials and examples.

Attaching package: 'dplyr'

The following objects are masked from 'package:stats':

    filter, lag

The following objects are masked from 'package:base':

    intersect, setdiff, setequal, union

Task 15 -> topic: 29
484 instances of "lakers" found.
430 instances of "lakers" found.
374 instances of "lakers" found.
375 instances of "lakers" found.
411 instances of "lakers" found.
378 instances of "lakers" found.
406 instances of "lakers" found.
558 instances of "lakers" found.
453 instances of "lakers" found.
326 instances of "lakers" found.
390 instances of "lakers" found.
505 instances of "warriors" found.
538 instances of "warriors" found.
534 instances of "warriors" found.
543 instances of "warriors" found.
501 instances of "warriors" found.
517 instances of "warriors" found.
473 instances of "warriors" found.
507 instances of "warriors" found.
401 instances of "warriors" found.
465 instances of "warriors" found.
560 instances of "warriors" found.
519 instances of "warriors" found.
438 instances of "warriors" found.
542 instances of "warriors" found.
529 instances of "warriors" found.
515 instances of "warriors" found.
474 instances of "warriors" found.
590 instances of "warriors" found.
452 instances of "warriors" found.
495 instances of "warriors" found.
522 instances of "n.b.a" found.
540 instances of "n.b.a" found.
509 instances of "n.b.a" found.
611 instances of "n.b.a" found.
548 instances of "n.b.a" found.
500 instances of "n.b.a" found.
456 instances of "n.b.a" found.
518 instances of "n.b.a" found.
560 instances of "n.b.a" found.
542 instances of "n.b.a" found.
481 instances of "n.b.a" found.
606 instances of "n.b.a" found.
456 instances of "n.b.a" found.
598 instances of "n.b.a" found.
450 instances of "n.b.a" found.
488 instances of "n.b.a" found.
536 instances of "n.b.a" found.
687 instances of "n.b.a" found.
534 instances of "n.b.a" found.
504 instances of "n.b.a" found.
539 instances of "bulls" found.
610 instances of "bulls" found.
519 instances of "bulls" found.
508 instances of "bulls" found.
555 instances of "bulls" found.
573 instances of "bulls" found.
556 instances of "bulls" found.
571 instances of "bulls" found.
579 instances of "bulls" found.
638 instances of "bulls" found.
520 instances of "bulls" found.
649 instances of "bulls" found.
525 instances of "bulls" found.
569 instances of "bulls" found.
522 instances of "bulls" found.
509 instances of "bulls" found.
586 instances of "bulls" found.
590 instances of "bulls" found.
527 instances of "bulls" found.
618 instances of "bulls" found.
329 instances of "celtics" found.
225 instances of "celtics" found.
267 instances of "celtics" found.
357 instances of "celtics" found.
347 instances of "celtics" found.
335 instances of "celtics" found.
361 instances of "celtics" found.
235 instances of "celtics" found.
268 instances of "celtics" found.
328 instances of "celtics" found.
351 instances of "celtics" found.
321 instances of "celtics" found.
271 instances of "celtics" found.
293 instances of "celtics" found.
343 instances of "celtics" found.
363 instances of "celtics" found.
293 instances of "celtics" found.
321 instances of "celtics" found.
246 instances of "celtics" found.
355 instances of "celtics" found.
203 instances of "pistons" found.
184 instances of "pistons" found.
191 instances of "pistons" found.
205 instances of "pistons" found.
241 instances of "pistons" found.
188 instances of "pistons" found.
177 instances of "pistons" found.
200 instances of "pistons" found.
223 instances of "pistons" found.
182 instances of "pistons" found.
151 instances of "pistons" found.
178 instances of "pistons" found.
150 instances of "pistons" found.
152 instances of "pistons" found.
181 instances of "pistons" found.
187 instances of "pistons" found.
219 instances of "pistons" found.
207 instances of "pistons" found.
148 instances of "pistons" found.
148 instances of "pistons" found.
248 instances of "clippers" found.
268 instances of "clippers" found.
163 instances of "clippers" found.
239 instances of "clippers" found.
285 instances of "clippers" found.
253 instances of "clippers" found.
197 instances of "clippers" found.
225 instances of "clippers" found.
265 instances of "clippers" found.
209 instances of "clippers" found.
224 instances of "clippers" found.
215 instances of "clippers" found.
237 instances of "clippers" found.
227 instances of "clippers" found.
223 instances of "clippers" found.
244 instances of "clippers" found.
282 instances of "clippers" found.
273 instances of "clippers" found.
212 instances of "clippers" found.
252 instances of "clippers" found.
245 instances of "76ers" found.
291 instances of "76ers" found.
315 instances of "76ers" found.
237 instances of "76ers" found.
206 instances of "76ers" found.
270 instances of "76ers" found.
252 instances of "76ers" found.
217 instances of "76ers" found.
204 instances of "76ers" found.
223 instances of "76ers" found.
223 instances of "76ers" found.
261 instances of "76ers" found.
264 instances of "76ers" found.
211 instances of "76ers" found.
245 instances of "76ers" found.
227 instances of "76ers" found.
247 instances of "76ers" found.
305 instances of "76ers" found.
254 instances of "76ers" found.
235 instances of "76ers" found.
254 instances of "golden-state" found.
262 instances of "golden-state" found.
253 instances of "golden-state" found.
276 instances of "golden-state" found.
282 instances of "golden-state" found.
267 instances of "golden-state" found.
254 instances of "golden-state" found.
284 instances of "golden-state" found.
222 instances of "golden-state" found.
254 instances of "golden-state" found.
233 instances of "golden-state" found.
230 instances of "golden-state" found.
214 instances of "golden-state" found.
287 instances of "golden-state" found.
262 instances of "golden-state" found.
248 instances of "golden-state" found.
230 instances of "golden-state" found.
255 instances of "golden-state" found.
235 instances of "golden-state" found.
236 instances of "golden-state" found.
266 instances of "spurs" found.
211 instances of "spurs" found.
328 instances of "spurs" found.
264 instances of "spurs" found.
240 instances of "spurs" found.
288 instances of "spurs" found.
265 instances of "spurs" found.
238 instances of "spurs" found.
216 instances of "spurs" found.
203 instances of "spurs" found.
209 instances of "spurs" found.
271 instances of "spurs" found.
222 instances of "spurs" found.
231 instances of "spurs" found.
286 instances of "spurs" found.
206 instances of "spurs" found.
167 instances of "spurs" found.
237 instances of "spurs" found.
234 instances of "spurs" found.
251 instances of "spurs" found.
169 instances of "suns" found.
140 instances of "suns" found.
200 instances of "suns" found.
243 instances of "suns" found.
172 instances of "suns" found.
188 instances of "suns" found.
138 instances of "suns" found.
145 instances of "suns" found.
131 instances of "suns" found.
166 instances of "suns" found.
131 instances of "suns" found.
171 instances of "suns" found.
121 instances of "suns" found.
158 instances of "suns" found.
191 instances of "suns" found.
146 instances of "suns" found.
133 instances of "suns" found.
171 instances of "suns" found.
153 instances of "suns" found.
157 instances of "suns" found.
342 instances of "point-guard" found.
400 instances of "point-guard" found.
417 instances of "point-guard" found.
424 instances of "point-guard" found.
400 instances of "point-guard" found.
414 instances of "point-guard" found.
440 instances of "point-guard" found.
417 instances of "point-guard" found.
413 instances of "point-guard" found.
359 instances of "point-guard" found.
415 instances of "point-guard" found.
349 instances of "point-guard" found.
391 instances of "point-guard" found.
397 instances of "point-guard" found.
394 instances of "point-guard" found.
413 instances of "point-guard" found.
429 instances of "point-guard" found.
409 instances of "point-guard" found.
384 instances of "point-guard" found.
399 instances of "point-guard" found.
174 instances of "mavericks" found.
164 instances of "mavericks" found.
174 instances of "mavericks" found.
220 instances of "mavericks" found.
208 instances of "mavericks" found.
223 instances of "mavericks" found.
210 instances of "mavericks" found.
206 instances of "mavericks" found.
234 instances of "mavericks" found.
182 instances of "mavericks" found.
225 instances of "mavericks" found.
201 instances of "mavericks" found.
167 instances of "mavericks" found.
248 instances of "mavericks" found.
165 instances of "mavericks" found.
188 instances of "mavericks" found.
199 instances of "mavericks" found.
171 instances of "mavericks" found.
189 instances of "mavericks" found.
205 instances of "mavericks" found.
421 instances of "bucks" found.
376 instances of "bucks" found.
379 instances of "bucks" found.
549 instances of "bucks" found.
418 instances of "bucks" found.
428 instances of "bucks" found.
433 instances of "bucks" found.
413 instances of "bucks" found.
409 instances of "bucks" found.
375 instances of "bucks" found.
418 instances of "bucks" found.
447 instances of "bucks" found.
381 instances of "bucks" found.
421 instances of "bucks" found.
436 instances of "bucks" found.
480 instances of "bucks" found.
461 instances of "bucks" found.
504 instances of "bucks" found.
397 instances of "bucks" found.
411 instances of "bucks" found.
222 instances of "nuggets" found.
208 instances of "nuggets" found.
219 instances of "nuggets" found.
306 instances of "nuggets" found.
226 instances of "nuggets" found.
199 instances of "nuggets" found.
186 instances of "nuggets" found.
200 instances of "nuggets" found.
170 instances of "nuggets" found.
241 instances of "nuggets" found.
205 instances of "nuggets" found.
168 instances of "nuggets" found.
168 instances of "nuggets" found.
201 instances of "nuggets" found.
195 instances of "nuggets" found.
197 instances of "nuggets" found.
242 instances of "nuggets" found.
287 instances of "nuggets" found.
246 instances of "nuggets" found.
247 instances of "nuggets" found.
134 instances of "pacers" found.
127 instances of "pacers" found.
100 instances of "pacers" found.
157 instances of "pacers" found.
201 instances of "pacers" found.
162 instances of "pacers" found.
145 instances of "pacers" found.
159 instances of "pacers" found.
230 instances of "pacers" found.
218 instances of "pacers" found.
147 instances of "pacers" found.
141 instances of "pacers" found.
145 instances of "pacers" found.
156 instances of "pacers" found.
147 instances of "pacers" found.
143 instances of "pacers" found.
143 instances of "pacers" found.
194 instances of "pacers" found.
139 instances of "pacers" found.
166 instances of "pacers" found.
167 instances of "wnba" found.
156 instances of "wnba" found.
218 instances of "wnba" found.
245 instances of "wnba" found.
201 instances of "wnba" found.
105 instances of "wnba" found.
179 instances of "wnba" found.
194 instances of "wnba" found.
160 instances of "wnba" found.
137 instances of "wnba" found.
147 instances of "wnba" found.
145 instances of "wnba" found.
167 instances of "wnba" found.
170 instances of "wnba" found.
142 instances of "wnba" found.
150 instances of "wnba" found.
144 instances of "wnba" found.
175 instances of "wnba" found.
118 instances of "wnba" found.
146 instances of "wnba" found.
217 instances of "eastern-conference" found.
204 instances of "eastern-conference" found.
259 instances of "eastern-conference" found.
228 instances of "eastern-conference" found.
206 instances of "eastern-conference" found.
273 instances of "eastern-conference" found.
229 instances of "eastern-conference" found.
214 instances of "eastern-conference" found.
215 instances of "eastern-conference" found.
264 instances of "eastern-conference" found.
212 instances of "eastern-conference" found.
203 instances of "eastern-conference" found.
220 instances of "eastern-conference" found.
219 instances of "eastern-conference" found.
204 instances of "eastern-conference" found.
222 instances of "eastern-conference" found.
221 instances of "eastern-conference" found.
251 instances of "eastern-conference" found.
191 instances of "eastern-conference" found.
207 instances of "eastern-conference" found.
190 instances of "basketball-association" found.
210 instances of "basketball-association" found.
218 instances of "basketball-association" found.
190 instances of "basketball-association" found.
189 instances of "basketball-association" found.
204 instances of "basketball-association" found.
186 instances of "basketball-association" found.
195 instances of "basketball-association" found.
188 instances of "basketball-association" found.
212 instances of "basketball-association" found.
177 instances of "basketball-association" found.
205 instances of "basketball-association" found.
168 instances of "basketball-association" found.
186 instances of "basketball-association" found.
185 instances of "basketball-association" found.
213 instances of "basketball-association" found.
207 instances of "basketball-association" found.
206 instances of "basketball-association" found.
167 instances of "basketball-association" found.
230 instances of "basketball-association" found.
144 instances of "los-angeles-lakers" found.
111 instances of "los-angeles-lakers" found.
161 instances of "los-angeles-lakers" found.
139 instances of "los-angeles-lakers" found.
127 instances of "los-angeles-lakers" found.
148 instances of "los-angeles-lakers" found.
138 instances of "los-angeles-lakers" found.
145 instances of "los-angeles-lakers" found.
138 instances of "los-angeles-lakers" found.
121 instances of "los-angeles-lakers" found.
126 instances of "los-angeles-lakers" found.
111 instances of "los-angeles-lakers" found.
148 instances of "los-angeles-lakers" found.
112 instances of "los-angeles-lakers" found.
111 instances of "los-angeles-lakers" found.
126 instances of "los-angeles-lakers" found.
163 instances of "los-angeles-lakers" found.
130 instances of "los-angeles-lakers" found.
127 instances of "los-angeles-lakers" found.
146 instances of "los-angeles-lakers" found.
252 instances of "arenas" found.
250 instances of "arenas" found.
228 instances of "arenas" found.
198 instances of "arenas" found.
249 instances of "arenas" found.
233 instances of "arenas" found.
261 instances of "arenas" found.
255 instances of "arenas" found.
233 instances of "arenas" found.
250 instances of "arenas" found.
219 instances of "arenas" found.
166 instances of "arenas" found.
275 instances of "arenas" found.
226 instances of "arenas" found.
328 instances of "arenas" found.
196 instances of "arenas" found.
235 instances of "arenas" found.
266 instances of "arenas" found.
248 instances of "arenas" found.
242 instances of "arenas" found.
97 instances of "boston-celtics" found.
83 instances of "boston-celtics" found.
99 instances of "boston-celtics" found.
122 instances of "boston-celtics" found.
91 instances of "boston-celtics" found.
91 instances of "boston-celtics" found.
104 instances of "boston-celtics" found.
103 instances of "boston-celtics" found.
85 instances of "boston-celtics" found.
113 instances of "boston-celtics" found.
115 instances of "boston-celtics" found.
109 instances of "boston-celtics" found.
90 instances of "boston-celtics" found.
117 instances of "boston-celtics" found.
110 instances of "boston-celtics" found.
96 instances of "boston-celtics" found.
97 instances of "boston-celtics" found.
105 instances of "boston-celtics" found.
117 instances of "boston-celtics" found.
117 instances of "boston-celtics" found.
227 instances of "mvp" found.
226 instances of "mvp" found.
242 instances of "mvp" found.
225 instances of "mvp" found.
247 instances of "mvp" found.
231 instances of "mvp" found.
246 instances of "mvp" found.
209 instances of "mvp" found.
224 instances of "mvp" found.
245 instances of "mvp" found.
247 instances of "mvp" found.
239 instances of "mvp" found.
227 instances of "mvp" found.
221 instances of "mvp" found.
260 instances of "mvp" found.
219 instances of "mvp" found.
246 instances of "mvp" found.
198 instances of "mvp" found.
219 instances of "mvp" found.
238 instances of "mvp" found.
Saved topic: 29
