conText v3.0.1 successfully loaded. Note this version of the package comes with significant changes to the conText() function.
                        See Quick Start Guide for help getting started and instructions for accessing older versions of the package:
 https://github.com/prodriguezsosa/conText/blob/master/vignettes/quickstart.md
Package version: 4.3.1
Unicode version: 15.1
ICU version: 74.2
Parallel computing: 2 of 2 threads used.
See https://quanteda.io for tutorials and examples.

Attaching package: 'dplyr'

The following objects are masked from 'package:stats':

    filter, lag

The following objects are masked from 'package:base':

    intersect, setdiff, setequal, union

Task 97 -> topic: 239
1776 instances of "economists" found.
1758 instances of "economists" found.
1970 instances of "economists" found.
1944 instances of "economists" found.
1729 instances of "economists" found.
1978 instances of "economists" found.
1797 instances of "economists" found.
1758 instances of "economists" found.
1872 instances of "economists" found.
1840 instances of "economists" found.
1893 instances of "economists" found.
1884 instances of "economists" found.
1752 instances of "economists" found.
1821 instances of "economists" found.
1883 instances of "economists" found.
1813 instances of "economists" found.
1904 instances of "economists" found.
1917 instances of "economists" found.
1831 instances of "economists" found.
1744 instances of "economists" found.
683 instances of "commerce-department" found.
685 instances of "commerce-department" found.
694 instances of "commerce-department" found.
659 instances of "commerce-department" found.
675 instances of "commerce-department" found.
704 instances of "commerce-department" found.
672 instances of "commerce-department" found.
648 instances of "commerce-department" found.
699 instances of "commerce-department" found.
606 instances of "commerce-department" found.
684 instances of "commerce-department" found.
675 instances of "commerce-department" found.
656 instances of "commerce-department" found.
601 instances of "commerce-department" found.
721 instances of "commerce-department" found.
588 instances of "commerce-department" found.
651 instances of "commerce-department" found.
716 instances of "commerce-department" found.
700 instances of "commerce-department" found.
592 instances of "commerce-department" found.
517 instances of "annual-rate" found.
417 instances of "annual-rate" found.
518 instances of "annual-rate" found.
516 instances of "annual-rate" found.
419 instances of "annual-rate" found.
486 instances of "annual-rate" found.
468 instances of "annual-rate" found.
436 instances of "annual-rate" found.
492 instances of "annual-rate" found.
462 instances of "annual-rate" found.
547 instances of "annual-rate" found.
519 instances of "annual-rate" found.
408 instances of "annual-rate" found.
480 instances of "annual-rate" found.
515 instances of "annual-rate" found.
434 instances of "annual-rate" found.
457 instances of "annual-rate" found.
511 instances of "annual-rate" found.
473 instances of "annual-rate" found.
440 instances of "annual-rate" found.
392 instances of "consumer-spending" found.
354 instances of "consumer-spending" found.
358 instances of "consumer-spending" found.
347 instances of "consumer-spending" found.
381 instances of "consumer-spending" found.
376 instances of "consumer-spending" found.
368 instances of "consumer-spending" found.
376 instances of "consumer-spending" found.
393 instances of "consumer-spending" found.
378 instances of "consumer-spending" found.
362 instances of "consumer-spending" found.
400 instances of "consumer-spending" found.
367 instances of "consumer-spending" found.
406 instances of "consumer-spending" found.
344 instances of "consumer-spending" found.
320 instances of "consumer-spending" found.
385 instances of "consumer-spending" found.
387 instances of "consumer-spending" found.
405 instances of "consumer-spending" found.
346 instances of "consumer-spending" found.
384 instances of "retail-sales" found.
399 instances of "retail-sales" found.
458 instances of "retail-sales" found.
392 instances of "retail-sales" found.
412 instances of "retail-sales" found.
399 instances of "retail-sales" found.
366 instances of "retail-sales" found.
326 instances of "retail-sales" found.
373 instances of "retail-sales" found.
345 instances of "retail-sales" found.
413 instances of "retail-sales" found.
398 instances of "retail-sales" found.
375 instances of "retail-sales" found.
372 instances of "retail-sales" found.
375 instances of "retail-sales" found.
355 instances of "retail-sales" found.
396 instances of "retail-sales" found.
363 instances of "retail-sales" found.
356 instances of "retail-sales" found.
370 instances of "retail-sales" found.
455 instances of "chief-economist" found.
477 instances of "chief-economist" found.
465 instances of "chief-economist" found.
