conText v3.0.1 successfully loaded. Note this version of the package comes with significant changes to the conText() function.
                        See Quick Start Guide for help getting started and instructions for accessing older versions of the package:
 https://github.com/prodriguezsosa/conText/blob/master/vignettes/quickstart.md
Package version: 4.3.1
Unicode version: 15.1
ICU version: 74.2
Parallel computing: 2 of 2 threads used.
See https://quanteda.io for tutorials and examples.

Attaching package: 'dplyr'

The following objects are masked from 'package:stats':

    filter, lag

The following objects are masked from 'package:base':

    intersect, setdiff, setequal, union

Task 97 -> topic: 239
536 instances of "chief-economist" found.
460 instances of "chief-economist" found.
535 instances of "chief-economist" found.
494 instances of "chief-economist" found.
505 instances of "chief-economist" found.
527 instances of "chief-economist" found.
487 instances of "chief-economist" found.
515 instances of "chief-economist" found.
493 instances of "chief-economist" found.
472 instances of "chief-economist" found.
459 instances of "chief-economist" found.
483 instances of "chief-economist" found.
500 instances of "chief-economist" found.
518 instances of "chief-economist" found.
536 instances of "chief-economist" found.
492 instances of "chief-economist" found.
490 instances of "chief-economist" found.
499 instances of "unemployment-rate" found.
505 instances of "unemployment-rate" found.
524 instances of "unemployment-rate" found.
526 instances of "unemployment-rate" found.
482 instances of "unemployment-rate" found.
439 instances of "unemployment-rate" found.
527 instances of "unemployment-rate" found.
503 instances of "unemployment-rate" found.
538 instances of "unemployment-rate" found.
544 instances of "unemployment-rate" found.
543 instances of "unemployment-rate" found.
466 instances of "unemployment-rate" found.
509 instances of "unemployment-rate" found.
488 instances of "unemployment-rate" found.
492 instances of "unemployment-rate" found.
511 instances of "unemployment-rate" found.
515 instances of "unemployment-rate" found.
522 instances of "unemployment-rate" found.
512 instances of "unemployment-rate" found.
503 instances of "unemployment-rate" found.
229 instances of "consumer-confidence" found.
202 instances of "consumer-confidence" found.
181 instances of "consumer-confidence" found.
170 instances of "consumer-confidence" found.
194 instances of "consumer-confidence" found.
205 instances of "consumer-confidence" found.
186 instances of "consumer-confidence" found.
180 instances of "consumer-confidence" found.
201 instances of "consumer-confidence" found.
183 instances of "consumer-confidence" found.
171 instances of "consumer-confidence" found.
243 instances of "consumer-confidence" found.
218 instances of "consumer-confidence" found.
191 instances of "consumer-confidence" found.
197 instances of "consumer-confidence" found.
185 instances of "consumer-confidence" found.
211 instances of "consumer-confidence" found.
181 instances of "consumer-confidence" found.
182 instances of "consumer-confidence" found.
201 instances of "consumer-confidence" found.
211 instances of "price-index" found.
232 instances of "price-index" found.
264 instances of "price-index" found.
218 instances of "price-index" found.
236 instances of "price-index" found.
230 instances of "price-index" found.
230 instances of "price-index" found.
223 instances of "price-index" found.
262 instances of "price-index" found.
249 instances of "price-index" found.
249 instances of "price-index" found.
280 instances of "price-index" found.
226 instances of "price-index" found.
257 instances of "price-index" found.
209 instances of "price-index" found.
280 instances of "price-index" found.
232 instances of "price-index" found.
254 instances of "price-index" found.
241 instances of "price-index" found.
222 instances of "price-index" found.
160 instances of "durable-goods" found.
153 instances of "durable-goods" found.
144 instances of "durable-goods" found.
158 instances of "durable-goods" found.
133 instances of "durable-goods" found.
152 instances of "durable-goods" found.
164 instances of "durable-goods" found.
166 instances of "durable-goods" found.
160 instances of "durable-goods" found.
152 instances of "durable-goods" found.
162 instances of "durable-goods" found.
167 instances of "durable-goods" found.
130 instances of "durable-goods" found.
150 instances of "durable-goods" found.
168 instances of "durable-goods" found.
178 instances of "durable-goods" found.
131 instances of "durable-goods" found.
140 instances of "durable-goods" found.
169 instances of "durable-goods" found.
141 instances of "durable-goods" found.
307 instances of "gross-domestic-product" found.
263 instances of "gross-domestic-product" found.
303 instances of "gross-domestic-product" found.
323 instances of "gross-domestic-product" found.
280 instances of "gross-domestic-product" found.
304 instances of "gross-domestic-product" found.
314 instances of "gross-domestic-product" found.
301 instances of "gross-domestic-product" found.
327 instances of "gross-domestic-product" found.
291 instances of "gross-domestic-product" found.
318 instances of "gross-domestic-product" found.
291 instances of "gross-domestic-product" found.
305 instances of "gross-domestic-product" found.
304 instances of "gross-domestic-product" found.
352 instances of "gross-domestic-product" found.
277 instances of "gross-domestic-product" found.
315 instances of "gross-domestic-product" found.
311 instances of "gross-domestic-product" found.
337 instances of "gross-domestic-product" found.
254 instances of "gross-domestic-product" found.
117 instances of "personal-income" found.
140 instances of "personal-income" found.
92 instances of "personal-income" found.
128 instances of "personal-income" found.
117 instances of "personal-income" found.
172 instances of "personal-income" found.
112 instances of "personal-income" found.
97 instances of "personal-income" found.
155 instances of "personal-income" found.
108 instances of "personal-income" found.
114 instances of "personal-income" found.
145 instances of "personal-income" found.
110 instances of "personal-income" found.
111 instances of "personal-income" found.
152 instances of "personal-income" found.
99 instances of "personal-income" found.
117 instances of "personal-income" found.
132 instances of "personal-income" found.
132 instances of "personal-income" found.
117 instances of "personal-income" found.
198 instances of "payrolls" found.
175 instances of "payrolls" found.
159 instances of "payrolls" found.
171 instances of "payrolls" found.
178 instances of "payrolls" found.
155 instances of "payrolls" found.
183 instances of "payrolls" found.
167 instances of "payrolls" found.
194 instances of "payrolls" found.
138 instances of "payrolls" found.
163 instances of "payrolls" found.
200 instances of "payrolls" found.
172 instances of "payrolls" found.
147 instances of "payrolls" found.
194 instances of "payrolls" found.
169 instances of "payrolls" found.
219 instances of "payrolls" found.
164 instances of "payrolls" found.
186 instances of "payrolls" found.
199 instances of "payrolls" found.
131 instances of "housing-starts" found.
138 instances of "housing-starts" found.
116 instances of "housing-starts" found.
130 instances of "housing-starts" found.
117 instances of "housing-starts" found.
100 instances of "housing-starts" found.
127 instances of "housing-starts" found.
125 instances of "housing-starts" found.
126 instances of "housing-starts" found.
116 instances of "housing-starts" found.
132 instances of "housing-starts" found.
149 instances of "housing-starts" found.
90 instances of "housing-starts" found.
99 instances of "housing-starts" found.
130 instances of "housing-starts" found.
112 instances of "housing-starts" found.
156 instances of "housing-starts" found.
102 instances of "housing-starts" found.
135 instances of "housing-starts" found.
93 instances of "housing-starts" found.
105 instances of "year-over-year" found.
145 instances of "year-over-year" found.
128 instances of "year-over-year" found.
143 instances of "year-over-year" found.
135 instances of "year-over-year" found.
100 instances of "year-over-year" found.
111 instances of "year-over-year" found.
119 instances of "year-over-year" found.
125 instances of "year-over-year" found.
114 instances of "year-over-year" found.
122 instances of "year-over-year" found.
114 instances of "year-over-year" found.
127 instances of "year-over-year" found.
140 instances of "year-over-year" found.
119 instances of "year-over-year" found.
114 instances of "year-over-year" found.
107 instances of "year-over-year" found.
126 instances of "year-over-year" found.
94 instances of "year-over-year" found.
114 instances of "year-over-year" found.
128 instances of "jobless-rate" found.
124 instances of "jobless-rate" found.
114 instances of "jobless-rate" found.
142 instances of "jobless-rate" found.
106 instances of "jobless-rate" found.
94 instances of "jobless-rate" found.
133 instances of "jobless-rate" found.
110 instances of "jobless-rate" found.
138 instances of "jobless-rate" found.
106 instances of "jobless-rate" found.
109 instances of "jobless-rate" found.
130 instances of "jobless-rate" found.
118 instances of "jobless-rate" found.
93 instances of "jobless-rate" found.
120 instances of "jobless-rate" found.
101 instances of "jobless-rate" found.
144 instances of "jobless-rate" found.
111 instances of "jobless-rate" found.
102 instances of "jobless-rate" found.
111 instances of "jobless-rate" found.
64 instances of "cpi" found.
84 instances of "cpi" found.
96 instances of "cpi" found.
99 instances of "cpi" found.
86 instances of "cpi" found.
87 instances of "cpi" found.
102 instances of "cpi" found.
106 instances of "cpi" found.
91 instances of "cpi" found.
129 instances of "cpi" found.
118 instances of "cpi" found.
146 instances of "cpi" found.
71 instances of "cpi" found.
88 instances of "cpi" found.
69 instances of "cpi" found.
83 instances of "cpi" found.
140 instances of "cpi" found.
110 instances of "cpi" found.
131 instances of "cpi" found.
109 instances of "cpi" found.
102 instances of "jobless-claims" found.
104 instances of "jobless-claims" found.
98 instances of "jobless-claims" found.
126 instances of "jobless-claims" found.
105 instances of "jobless-claims" found.
84 instances of "jobless-claims" found.
82 instances of "jobless-claims" found.
102 instances of "jobless-claims" found.
120 instances of "jobless-claims" found.
92 instances of "jobless-claims" found.
110 instances of "jobless-claims" found.
103 instances of "jobless-claims" found.
98 instances of "jobless-claims" found.
119 instances of "jobless-claims" found.
107 instances of "jobless-claims" found.
78 instances of "jobless-claims" found.
128 instances of "jobless-claims" found.
104 instances of "jobless-claims" found.
127 instances of "jobless-claims" found.
88 instances of "jobless-claims" found.
127 instances of "gnp" found.
107 instances of "gnp" found.
93 instances of "gnp" found.
121 instances of "gnp" found.
114 instances of "gnp" found.
105 instances of "gnp" found.
109 instances of "gnp" found.
125 instances of "gnp" found.
134 instances of "gnp" found.
113 instances of "gnp" found.
117 instances of "gnp" found.
121 instances of "gnp" found.
113 instances of "gnp" found.
81 instances of "gnp" found.
154 instances of "gnp" found.
102 instances of "gnp" found.
185 instances of "gnp" found.
122 instances of "gnp" found.
155 instances of "gnp" found.
137 instances of "gnp" found.
Saved topic: 239
