conText v3.0.1 successfully loaded. Note this version of the package comes with significant changes to the conText() function.
                        See Quick Start Guide for help getting started and instructions for accessing older versions of the package:
 https://github.com/prodriguezsosa/conText/blob/master/vignettes/quickstart.md
Package version: 4.3.1
Unicode version: 15.1
ICU version: 74.2
Parallel computing: 2 of 2 threads used.
See https://quanteda.io for tutorials and examples.

Attaching package: 'dplyr'

The following objects are masked from 'package:stats':

    filter, lag

The following objects are masked from 'package:base':

    intersect, setdiff, setequal, union

Task 47 -> topic: 118
5251 instances of "network" found.
5248 instances of "network" found.
5194 instances of "network" found.
5138 instances of "network" found.
5208 instances of "network" found.
5159 instances of "network" found.
5245 instances of "network" found.
5262 instances of "network" found.
5288 instances of "network" found.
5261 instances of "network" found.
5313 instances of "network" found.
5130 instances of "network" found.
5287 instances of "network" found.
5302 instances of "network" found.
5220 instances of "network" found.
5135 instances of "network" found.
5139 instances of "network" found.
5326 instances of "network" found.
5213 instances of "network" found.
5119 instances of "network" found.
1947 instances of "cbs" found.
1935 instances of "cbs" found.
1842 instances of "cbs" found.
1976 instances of "cbs" found.
1797 instances of "cbs" found.
1669 instances of "cbs" found.
1855 instances of "cbs" found.
1922 instances of "cbs" found.
2096 instances of "cbs" found.
1682 instances of "cbs" found.
2018 instances of "cbs" found.
1911 instances of "cbs" found.
1894 instances of "cbs" found.
2124 instances of "cbs" found.
1763 instances of "cbs" found.
1871 instances of "cbs" found.
2000 instances of "cbs" found.
1763 instances of "cbs" found.
1793 instances of "cbs" found.
1922 instances of "cbs" found.
1960 instances of "nbc" found.
1772 instances of "nbc" found.
1824 instances of "nbc" found.
1742 instances of "nbc" found.
1627 instances of "nbc" found.
1712 instances of "nbc" found.
1707 instances of "nbc" found.
1927 instances of "nbc" found.
1797 instances of "nbc" found.
1732 instances of "nbc" found.
1940 instances of "nbc" found.
1640 instances of "nbc" found.
1970 instances of "nbc" found.
1742 instances of "nbc" found.
1831 instances of "nbc" found.
1614 instances of "nbc" found.
1761 instances of "nbc" found.
1731 instances of "nbc" found.
1779 instances of "nbc" found.
1769 instances of "nbc" found.
1501 instances of "abc" found.
1506 instances of "abc" found.
1470 instances of "abc" found.
1579 instances of "abc" found.
1383 instances of "abc" found.
1361 instances of "abc" found.
1344 instances of "abc" found.
1437 instances of "abc" found.
1483 instances of "abc" found.
1346 instances of "abc" found.
1612 instances of "abc" found.
1349 instances of "abc" found.
1558 instances of "abc" found.
1453 instances of "abc" found.
1321 instances of "abc" found.
1356 instances of "abc" found.
1337 instances of "abc" found.
1394 instances of "abc" found.
1313 instances of "abc" found.
1464 instances of "abc" found.
1449 instances of "viewers" found.
1497 instances of "viewers" found.
1365 instances of "viewers" found.
1371 instances of "viewers" found.
1349 instances of "viewers" found.
1402 instances of "viewers" found.
1337 instances of "viewers" found.
1430 instances of "viewers" found.
1391 instances of "viewers" found.
1308 instances of "viewers" found.
1473 instances of "viewers" found.
1436 instances of "viewers" found.
1348 instances of "viewers" found.
1346 instances of "viewers" found.
1312 instances of "viewers" found.
1267 instances of "viewers" found.
1459 instances of "viewers" found.
1400 instances of "viewers" found.
1335 instances of "viewers" found.
1358 instances of "viewers" found.
